sample	site	type	location	day	time	timepoint
SL345917	park/campus handrail	public surface	residence 2	7	morning	13
SL345918	door knob	household surface	residence 2	8	morning	15
SL345919	right palm	skin	residence 2	1	morning	1
SL345920	bed headboard	household surface	residence 2	2	morning	3
SL345921	right palm	skin	residence 2	3	morning	5
SL345922	park/campus handrail	public surface	residence 2	4	morning	7
SL345923	park/campus handrail	public surface	residence 2	5	morning	9
SL345924	bed headboard	household surface	residence 2	6	morning	11
SL345925	bed headboard	household surface	residence 2	7	morning	13
SL345926	bed headboard	household surface	residence 2	8	morning	15
SL345927	door knob	household surface	residence 2	1	morning	1
SL345928	park/campus handrail	public surface	residence 2	2	morning	3
SL345929	left palm	skin	residence 2	3	morning	5
SL345930	subway exit handrail	public surface	residence 2	4	morning	7
SL345931	door knob	household surface	residence 2	5	morning	9
SL345932	door knob	household surface	residence 2	6	morning	11
SL345933	left palm	skin	residence 2	7	morning	13
SL345934	left palm	skin	residence 2	8	morning	15
SL345935	subway exit handrail	public surface	residence 2	1	morning	1
SL345936	left palm	skin	residence 2	2	morning	3
SL345937	bed headboard	household surface	residence 2	3	morning	5
SL345938	bed headboard	household surface	residence 2	4	morning	7
SL345939	bed headboard	household surface	residence 2	5	morning	9
SL345940	left palm	skin	residence 2	6	morning	11
SL345941	door knob	household surface	residence 2	7	morning	13
SL345942	park/campus handrail	public surface	residence 2	8	morning	15
SL345943	bed headboard	household surface	residence 2	1	morning	1
SL345944	subway exit handrail	public surface	residence 2	2	morning	3
SL345945	door knob	household surface	residence 2	3	morning	5
SL345946	right palm	skin	residence 2	4	morning	7
SL345947	subway exit handrail	public surface	residence 2	5	morning	9
SL345948	subway exit handrail	public surface	residence 2	6	morning	11
SL345949	subway exit handrail	public surface	residence 2	7	morning	13
SL345950	right palm	skin	residence 2	8	morning	15
SL345951	park/campus handrail	public surface	residence 2	1	evening	2
SL345953	subway exit handrail	public surface	residence 2	3	evening	6
SL345954	left palm	skin	residence 2	4	evening	8
SL345955	right palm	skin	residence 2	5	evening	10
SL345956	bed headboard	household surface	residence 2	6	evening	12
SL345957	left palm	skin	residence 2	7	evening	14
SL345958	left palm	skin	residence 2	8	evening	16
SL345959	right palm	skin	residence 2	1	evening	2
SL345960	bed headboard	household surface	residence 2	2	evening	4
SL345961	subway exit handrail	public surface	residence 2	4	evening	8
SL345962	left palm	skin	residence 2	3	evening	6
SL345963	park/campus handrail	public surface	residence 2	5	evening	10
SL345964	right palm	skin	residence 2	6	evening	12
SL345965	subway exit handrail	public surface	residence 2	7	evening	14
SL345966	park/campus handrail	public surface	residence 2	8	evening	16
SL345967	door knob	household surface	residence 2	1	evening	2
SL345968	subway exit handrail	public surface	residence 2	2	evening	4
SL345969	door knob	household surface	residence 2	3	evening	6
SL345970	right palm	skin	residence 2	4	evening	8
SL345971	left palm	skin	residence 2	5	evening	10
SL345972	subway exit handrail	public surface	residence 2	6	evening	12
SL345973	bed headboard	household surface	residence 2	7	evening	14
SL345974	subway exit handrail	public surface	residence 2	8	evening	16
SL345975	left palm	skin	residence 2	1	evening	2
SL345976	left palm	skin	residence 2	2	evening	4
SL345977	right palm	skin	residence 2	3	evening	6
SL345978	bed headboard	household surface	residence 2	4	evening	8
SL345979	subway exit handrail	public surface	residence 2	5	evening	10
SL345980	park/campus handrail	public surface	residence 2	6	evening	12
SL345981	right palm	skin	residence 2	7	evening	14
SL345982	right palm	skin	residence 2	8	evening	16
SL345983	bed headboard	household surface	residence 2	1	evening	2
SL345984	right palm	skin	residence 2	2	evening	4
SL345985	bed headboard	household surface	residence 2	3	evening	6
SL345986	door knob	household surface	residence 2	4	evening	8
SL345987	bed headboard	household surface	residence 2	5	evening	10
SL345988	door knob	household surface	residence 2	6	evening	12
SL345989	door knob	household surface	residence 2	7	evening	14
SL345990	bed headboard	household surface	residence 2	8	evening	16
SL345991	subway exit handrail	public surface	residence 2	1	evening	2
SL345992	park/campus handrail	public surface	residence 2	2	evening	4
SL345993	park/campus handrail	public surface	residence 2	3	evening	6
